,IATA,ICAO,Airline,Call sign,Country/Region,Comments
602,OY,ANS,Andes Líneas Aéreas,AEROANDES,Argentina,
603,IW,AOM,AOM French Airlines,French Lines,France,defunct
604,,ANW,"Aviación Del Noroeste, S.A. de C.V.",AVINOR,Mexico,defunct
605,,SAP,Avia Jaynar,TOBOL,Kazakhstan,
606,,EMS,Aero Servicios Empresariales,SERVIEMPRESARIAL,Mexico,
607,,AOA,"Alcon Servicios Aéreos, S.A. de C.V.",ALCON,Mexico,
608,J6,AOC,AVCOM,AERO AVCOM,Russia,
609,,AOD,Aero Vodochody,AERO CZECH,Czech Republic,
610,,AOF,Atair Pty Ltd.,ATAIR,South Africa,
611,2D,AOG,Aero VIP,AVIP,Argentina,defunct
612,,MUN,Aeromundo Ejecutivo,AEROMUNDO,Mexico,
613,,MUR,Aerolínea Muri,MURI,Mexico,
614,,AOI,"Astoria, Inc.",ASTORIA,Canada,defunct
615,,NRO,Aero Rent JSC,AEROMASTER,Russia,defunct
616,,NRP,Aeronord-Grup,AERONORD,Moldova,
617,,AOK,Aeroatlantico Colombia,,Colombia,defunct
618,,AOL,Angkor Airlines,ANGKOR AIR,Cambodia,defunct
619,,AON,Aero Entreprise,AERO ENTERPRISE,France,
620,,AOO,"As, Opened Joint Stock Company",COMPANY AS,Ukraine,
621,,AOP,Aeropiloto,AEROPILOTO,Portugal,
622,VB,VIV,Aeroenlaces Nacionales,AEROENLACES,Mexico,Former ICAO code: AEN
623,,VIZ,Aerovis Airlines,AEROVIZ,Ukraine,
624,,VJE,AvJet Routing,,United Arab Emirates,
625,,VGF,Aerovista Gulf Express,VISTA GULF,United Arab Emirates,
626,,VER,Almaver,ALMAVER,Mexico,
627,,AOR,Afro International Ent. Limited,INTER-AFRO,Nigeria,
628,,SMX,Alitalia Express,ALIEXPRESS,Italy,
629,OE,AOT,Asia Overnight Express,ASIA OVERNIGHT,Philippines,
630,,AOV,Aero Vision,AEROVISION,France,
631,,AOX,Aerotaxi Del Valle,AEROVALLE,Colombia,
632,,APC,"Airpac Airlines, Inc.",AIRPAC,United States,
633,,SVM,Aeroservicios Monterrey,SERVIMONTE,Mexico,
634,,APF,Amapola Flyg AB,AMAPOLA,Sweden,
635,,APH,"Alpha Aviation, Inc.",AIRFLIGHT,United States,
636,,API,"ASA Pesada, Lda.",ASA PESADA,Angola,
637,,APJ,Peach Aviation,AIR PEACH,Japan,
638,,PET,Aerotransporte Petrolero,AEROPETRO,Colombia,
639,GV,ARF,Aero Flight,Aero Fox,Germany,defunct
640,,BKL,Aircompany Barcol,BARCOL,Russia,
641,,BLA,All Charter Limited,ALL CHARTER,United Kingdom,ICAO code no longer allocated
642,,APL,"Appalachian Flying Service, Inc.",APPALACHIAN,United States,
643,,APM,"Airpac, Inc.",ALASKA PACIFIC,United States,
644,,APO,Aeropro,AEROPRO,Canada,defunct
645,,APP,"Aerolíneas Pacífico Atlántico, S.A. (Apair)",AEROPERLAS,Panama,
646,,APQ,Aspen Aviation,ASPEN BASE,United States,
647,,APU,"Aeropuma, S.A.",AEROPUMA,El Salvador,
648,JW,APW,Arrow Air,BIG A,United States,defunct
649,,APX,Apex Air Cargo,PARCEL EXPRESS,United States,
650,,APY,APA Internacional,APA INTERNACIONAL,Dominican Republic,
651,,AQA,"Aeroatlas, S.A.",ATCO,Colombia,
652,,AQL,Aquila Air Ltd.,AQUILA,Canada,
653,,AQO,Aluminum Company Of America,ALCOA SHUTTLE,United States,Alcoa Aircraft Operations
654,,AQT,"Aviones de Renta de Quintana Roo, S.A. de C.V.",AVIOQUINTANA,Mexico,
655,,AQU,AirQuarius Aviation,QUARIUS,South Africa,defunct
656,,AQZ,Aerodyne Charter Company,QUANZA,United States,
657,,ARA,Arik Air,ARIK AIR,Nigeria,
658,,ARB,Avia Air N.V.,AVIAIR,Aruba,
659,2B,AWT,Albawings,ALBAWINGS,Albania,
660,4C,ARE,"Aires, Aerovías de Integración Regional, S.A.",AIRES,Colombia,renamed to LAN Colombia
661,AR,ARG,Aerolíneas Argentinas,ARGENTINA,Argentina,
662,,ARH,Arrowhead Airways,ARROWHEAD,United States,
663,,ARI,Aero Vics,AEROVICS,Mexico,
664,,SUN,Antillana De Navegación Aérea,,Dominican Republic,
